type,direction,duration,_time
Voice,Outgoing,57,2010-09-17 20:13:20
SMS,Outgoing,0,2010-09-17 20:31:48
SMS,Incoming,0,2010-09-17 21:03:56
SMS,Incoming,0,2010-09-18 07:54:47
SMS,Outgoing,0,2010-09-18 08:11:16
Voice,Missed call,0,2010-09-18 09:26:30
Voice,Outgoing,0,2010-09-18 09:34:14
Voice,Outgoing,105,2010-09-18 09:34:31
Data,Outgoing,20,2010-09-18 10:37:10
Data,Outgoing,7,2010-09-18 11:33:10
Data,Outgoing,7,2010-09-18 11:34:19
Data,Outgoing,11,2010-09-18 11:35:35
Data,Outgoing,20,2010-09-18 11:59:02
SMS,Outgoing,0,2010-09-18 13:57:31
SMS,Incoming,0,2010-09-18 14:13:47
SMS,Incoming,0,2010-09-18 14:28:02
SMS,Outgoing,0,2010-09-18 14:41:54
SMS,Incoming,0,2010-09-18 14:51:38
SMS,Incoming,0,2010-09-18 14:53:32
SMS,Outgoing,0,2010-09-18 14:54:36
SMS,Incoming,0,2010-09-18 16:45:47
SMS,Outgoing,0,2010-09-18 16:49:57
SMS,Outgoing,0,2010-09-18 17:34:26
SMS,Incoming,0,2010-09-18 17:39:44
SMS,Outgoing,0,2010-09-18 17:42:55
SMS,Outgoing,0,2010-09-18 17:46:02
SMS,Incoming,0,2010-09-18 17:46:57
SMS,Outgoing,0,2010-09-18 17:48:32
SMS,Outgoing,0,2010-09-18 17:59:11
SMS,Outgoing,0,2010-09-18 18:05:24
Data,Outgoing,10,2010-09-18 18:05:29
Data,Outgoing,49,2010-09-18 18:06:10
SMS,Incoming,0,2010-09-18 18:19:09
Voice,Outgoing,364,2010-09-18 19:27:22
SMS,Incoming,0,2010-09-18 19:48:53
SMS,Outgoing,0,2010-09-18 20:32:35
SMS,Incoming,0,2010-09-18 20:32:55
SMS,Outgoing,0,2010-09-18 20:35:47
SMS,Incoming,0,2010-09-18 20:36:28
SMS,Outgoing,0,2010-09-18 20:37:38
SMS,Incoming,0,2010-09-18 20:38:21
SMS,Outgoing,0,2010-09-18 20:40:57
SMS,Incoming,0,2010-09-18 20:41:32
SMS,Outgoing,0,2010-09-18 20:44:57
SMS,Incoming,0,2010-09-18 20:45:40
SMS,Incoming,0,2010-09-18 20:46:14
SMS,Outgoing,0,2010-09-18 20:46:41
SMS,Outgoing,0,2010-09-18 20:47:55
SMS,Incoming,0,2010-09-18 20:54:43
SMS,Outgoing,0,2010-09-19 09:29:24
SMS,Incoming,0,2010-09-19 10:13:40
SMS,Outgoing,0,2010-09-19 10:17:22
SMS,Incoming,0,2010-09-19 10:21:17
SMS,Outgoing,0,2010-09-19 10:28:25
Voice,Outgoing,0,2010-09-19 12:28:56
SMS,Incoming,0,2010-09-19 12:31:07
SMS,Outgoing,0,2010-09-19 12:35:04
SMS,Incoming,0,2010-09-19 12:40:02
Voice,Outgoing,0,2010-09-19 12:40:22
SMS,Outgoing,0,2010-09-19 12:41:27
SMS,Outgoing,0,2010-09-19 12:58:09
SMS,Incoming,0,2010-09-19 13:06:36
Voice,Incoming,7,2010-09-19 14:15:45
SMS,Incoming,0,2010-09-19 17:11:59
Data,Outgoing,7,2010-09-19 17:12:04
SMS,Outgoing,0,2010-09-19 17:31:26
SMS,Incoming,0,2010-09-19 17:35:09
SMS,Outgoing,0,2010-09-19 17:37:18
Voice,Outgoing,3,2010-09-19 17:38:48
Voice,Incoming,1014,2010-09-19 17:40:17
Voice,Incoming,296,2010-09-19 17:57:23
SMS,Incoming,0,2010-09-19 20:02:35
SMS,Outgoing,0,2010-09-19 23:49:09
SMS,Incoming,0,2010-09-19 23:50:35
Voice,Incoming,166,2010-09-20 08:13:28
Voice,Outgoing,130,2010-09-20 08:19:25
SMS,Outgoing,0,2010-09-20 09:52:14
SMS,Outgoing,0,2010-09-20 10:46:24
SMS,Incoming,0,2010-09-20 12:07:43
SMS,Outgoing,0,2010-09-20 13:30:57
SMS,Incoming,0,2010-09-20 13:37:47
SMS,Incoming,0,2010-09-20 13:46:03
SMS,Outgoing,0,2010-09-20 13:49:13
SMS,Outgoing,0,2010-09-20 14:53:58
Voice,Outgoing,0,2010-09-20 15:22:21
SMS,Outgoing,0,2010-09-20 15:24:29
SMS,Incoming,0,2010-09-20 15:58:01
SMS,Outgoing,0,2010-09-20 16:04:05
SMS,Incoming,0,2010-09-20 16:31:42
SMS,Outgoing,0,2010-09-20 16:35:04
SMS,Incoming,0,2010-09-20 16:38:51
SMS,Outgoing,0,2010-09-20 16:40:11
Voice,Outgoing,0,2010-09-20 18:26:12
Voice,Outgoing,8,2010-09-20 18:29:31
SMS,Outgoing,0,2010-09-20 20:18:42
SMS,Outgoing,0,2010-09-20 21:21:51
SMS,Outgoing,0,2010-09-21 04:59:44
Voice,Outgoing,0,2010-09-21 05:46:20
SMS,Incoming,0,2010-09-21 05:50:28
Voice,Outgoing,0,2010-09-21 05:53:35
Voice,Outgoing,105,2010-09-21 05:54:03
Voice,Outgoing,24,2010-09-21 05:56:37
SMS,Incoming,0,2010-09-21 06:07:53
SMS,Outgoing,0,2010-09-21 06:08:26
SMS,Incoming,0,2010-09-21 06:41:32
Voice,Outgoing,65,2010-09-21 06:51:52
SMS,Outgoing,0,2010-09-21 06:54:16
Voice,Outgoing,88,2010-09-21 06:54:44
SMS,Incoming,0,2010-09-21 06:57:28
SMS,Incoming,0,2010-09-21 07:01:54
SMS,Outgoing,0,2010-09-21 07:05:22
SMS,Outgoing,0,2010-09-21 07:18:09
Voice,Missed call,0,2010-09-21 08:43:26
Voice,Outgoing,0,2010-09-21 09:23:10
Voice,Incoming,79,2010-09-21 09:23:24
SMS,Incoming,0,2010-09-21 09:59:53
Voice,Outgoing,0,2010-09-21 10:37:07
Voice,Outgoing,100,2010-09-21 11:31:26
SMS,Outgoing,0,2010-09-21 11:36:32
SMS,Outgoing,0,2010-09-21 11:39:10
SMS,Incoming,0,2010-09-21 11:39:47
SMS,Outgoing,0,2010-09-21 11:40:25
Data,Outgoing,23,2010-09-21 11:54:52
SMS,Incoming,0,2010-09-21 11:55:04
Data,Outgoing,0,2010-09-21 11:55:16
SMS,Incoming,0,2010-09-21 11:58:35
SMS,Incoming,0,2010-09-21 12:09:00
SMS,Incoming,0,2010-09-21 12:13:50
SMS,Incoming,0,2010-09-21 12:13:52
Voice,Incoming,93,2010-09-21 12:41:26
Voice,Outgoing,0,2010-09-21 12:56:02
Data,Outgoing,145,2010-09-21 14:54:19
Data,Outgoing,8109,2010-09-21 14:56:46
SMS,Outgoing,0,2010-09-21 15:31:43
SMS,Incoming,0,2010-09-21 15:48:12
Data,Outgoing,7,2010-09-21 15:48:18
SMS,Outgoing,0,2010-09-21 16:05:59
SMS,Incoming,0,2010-09-21 16:09:52
Data,Outgoing,323,2010-09-21 17:11:57
Data,Outgoing,7,2010-09-21 17:19:06
Data,Outgoing,26,2010-09-21 17:19:19
Data,Outgoing,86,2010-09-21 17:20:34
SMS,Incoming,0,2010-09-21 17:21:31
Data,Outgoing,87,2010-09-21 17:23:00
Data,Outgoing,11,2010-09-21 17:28:52
Data,Outgoing,43,2010-09-21 17:29:09
Data,Outgoing,7,2010-09-21 17:30:05
Data,Outgoing,49,2010-09-21 17:31:03
Data,Outgoing,33,2010-09-21 18:00:23
Data,Outgoing,89,2010-09-21 18:00:57
Data,Outgoing,21,2010-09-21 18:02:35
Data,Outgoing,27,2010-09-21 18:03:26
Voice,Outgoing,0,2010-09-21 18:07:22
Data,Outgoing,6,2010-09-21 18:07:51
Data,Outgoing,65,2010-09-21 18:08:01
Data,Outgoing,62,2010-09-21 18:09:32
SMS,Incoming,0,2010-09-21 19:57:36
SMS,Outgoing,0,2010-09-21 20:58:59
SMS,Outgoing,0,2010-09-21 21:02:08
Data,Outgoing,22,2010-09-21 21:19:03
Data,Outgoing,30,2010-09-21 21:19:26
SMS,Outgoing,0,2010-09-21 21:36:36
SMS,Incoming,0,2010-09-21 22:02:39
SMS,Incoming,0,2010-09-21 22:04:02
Data,Outgoing,30590,2010-09-21 22:04:50
SMS,Incoming,0,2010-09-22 05:31:59
Data,Outgoing,47,2010-09-22 06:34:54
Data,Outgoing,29,2010-09-22 06:35:50
Data,Outgoing,11,2010-09-22 06:37:08
Data,Outgoing,5,2010-09-22 06:38:49
Data,Outgoing,6,2010-09-22 06:39:16
Data,Outgoing,6,2010-09-22 06:39:23
Voice,Outgoing,11,2010-09-22 07:34:34
Voice,Outgoing,282,2010-09-22 08:10:49
Voice,Outgoing,4,2010-09-22 08:31:10
SMS,Outgoing,0,2010-09-22 08:32:46
Voice,Missed call,0,2010-09-22 08:33:18
Voice,Outgoing,5,2010-09-22 08:33:50
Voice,Outgoing,0,2010-09-22 08:34:00
Voice,Incoming,122,2010-09-22 08:34:05
SMS,Outgoing,0,2010-09-22 08:42:30
SMS,Incoming,0,2010-09-22 08:51:27
Data,Outgoing,59,2010-09-22 08:57:50
SMS,Incoming,0,2010-09-22 09:18:23
SMS,Outgoing,0,2010-09-22 09:21:25
Voice,Incoming,266,2010-09-22 09:45:18
Voice,Outgoing,0,2010-09-22 09:49:58
SMS,Incoming,0,2010-09-22 09:57:27
SMS,Outgoing,0,2010-09-22 09:58:05
Data,Outgoing,7,2010-09-22 10:22:38
SMS,Incoming,0,2010-09-22 11:05:51
Voice,Incoming,0,2010-09-22 11:13:20
Voice,Outgoing,0,2010-09-22 11:28:24
Voice,Incoming,18,2010-09-22 11:28:50
Voice,Incoming,39,2010-09-22 11:40:29
Voice,Outgoing,63,2010-09-22 11:55:37
Voice,Outgoing,262,2010-09-22 12:21:49
Voice,Outgoing,0,2010-09-22 12:46:50
Voice,Outgoing,525,2010-09-22 12:48:00
Voice,Outgoing,70,2010-09-22 13:00:45
Voice,Incoming,117,2010-09-22 13:24:02
Voice,Outgoing,17,2010-09-22 13:50:12
Voice,Outgoing,164,2010-09-22 14:12:26
Voice,Outgoing,79,2010-09-22 14:38:47
Data,Outgoing,20,2010-09-22 14:57:18
Voice,Outgoing,126,2010-09-22 15:02:53
SMS,Incoming,0,2010-09-22 15:06:57
SMS,Outgoing,0,2010-09-22 15:10:34
SMS,Incoming,0,2010-09-22 15:33:32
SMS,Outgoing,0,2010-09-22 15:38:05
Voice,Incoming,7,2010-09-22 16:04:55
SMS,Incoming,0,2010-09-22 16:07:08
SMS,Outgoing,0,2010-09-22 16:07:38
SMS,Outgoing,0,2010-09-22 16:29:44
SMS,Outgoing,0,2010-09-22 16:53:15
Voice,Outgoing,54,2010-09-22 16:55:26
Voice,Outgoing,48,2010-09-22 16:56:32
SMS,Outgoing,0,2010-09-22 17:02:03
Voice,Outgoing,115,2010-09-22 17:23:47
Voice,Outgoing,250,2010-09-22 18:11:55
SMS,Incoming,0,2010-09-22 18:47:10
SMS,Incoming,0,2010-09-22 19:40:45
SMS,Outgoing,0,2010-09-22 20:14:03
SMS,Incoming,0,2010-09-22 20:22:16
SMS,Outgoing,0,2010-09-22 20:40:29
SMS,Incoming,0,2010-09-22 20:42:17
Data,Outgoing,30,2010-09-22 20:52:50
Data,Outgoing,30,2010-09-23 06:10:14
SMS,Outgoing,0,2010-09-23 06:11:14
SMS,Incoming,0,2010-09-23 06:35:06
Voice,Outgoing,0,2010-09-23 09:02:41
Voice,Outgoing,0,2010-09-23 09:05:02
Voice,Outgoing,21,2010-09-23 09:10:42
Voice,Missed call,0,2010-09-23 09:14:52
Voice,Outgoing,348,2010-09-23 09:17:52
SMS,Outgoing,0,2010-09-23 09:28:28
Voice,Outgoing,0,2010-09-23 09:28:53
SMS,Outgoing,0,2010-09-23 09:32:19
Voice,Outgoing,321,2010-09-23 09:32:48
Voice,Incoming,219,2010-09-23 09:42:35
Voice,Incoming,26,2010-09-23 09:46:50
Voice,Outgoing,125,2010-09-23 09:47:40
SMS,Outgoing,0,2010-09-23 09:52:54
Voice,Outgoing,0,2010-09-23 10:00:32
Voice,Outgoing,0,2010-09-23 10:02:35
Voice,Outgoing,0,2010-09-23 10:08:10
SMS,Incoming,0,2010-09-23 10:12:12
SMS,Outgoing,0,2010-09-23 10:31:25
SMS,Outgoing,0,2010-09-23 10:32:13
Voice,Outgoing,0,2010-09-23 10:53:27
SMS,Incoming,0,2010-09-23 11:46:09
Voice,Incoming,49,2010-09-23 11:49:15
Voice,Outgoing,125,2010-09-23 11:55:58
SMS,Incoming,0,2010-09-23 12:28:37
SMS,Outgoing,0,2010-09-23 12:29:33
Voice,Outgoing,0,2010-09-23 12:57:43
Voice,Outgoing,0,2010-09-23 13:16:12
SMS,Incoming,0,2010-09-23 13:16:50
Voice,Incoming,67,2010-09-23 13:25:45
Voice,Incoming,66,2010-09-23 13:47:56
SMS,Outgoing,0,2010-09-23 14:01:52
SMS,Incoming,0,2010-09-23 14:02:59
Voice,Incoming,117,2010-09-23 14:11:00
Voice,Incoming,374,2010-09-23 14:16:55
SMS,Incoming,0,2010-09-23 15:02:26
SMS,Outgoing,0,2010-09-23 15:14:47
SMS,Incoming,0,2010-09-23 15:19:24
SMS,Outgoing,0,2010-09-23 15:22:18
SMS,Incoming,0,2010-09-23 15:25:39
Voice,Outgoing,43,2010-09-23 15:33:17
SMS,Outgoing,0,2010-09-23 15:35:39
SMS,Incoming,0,2010-09-23 15:37:18
SMS,Incoming,0,2010-09-23 16:27:09
SMS,Outgoing,0,2010-09-23 16:31:14
SMS,Outgoing,0,2010-09-23 16:32:26
SMS,Incoming,0,2010-09-23 16:38:36
SMS,Incoming,0,2010-09-23 17:10:52
SMS,Outgoing,0,2010-09-23 17:24:11
Voice,Outgoing,0,2010-09-23 17:35:43
Voice,Incoming,106,2010-09-23 17:36:43
SMS,Outgoing,0,2010-09-23 18:05:00
Voice,Outgoing,0,2010-09-23 18:05:58
Data,Outgoing,81,2010-09-23 18:06:53
SMS,Incoming,0,2010-09-23 18:28:31
SMS,Outgoing,0,2010-09-23 18:43:14
SMS,Outgoing,0,2010-09-23 18:43:55
Voice,Missed call,0,2010-09-23 18:48:29
Voice,Outgoing,0,2010-09-23 19:08:13
SMS,Incoming,0,2010-09-24 06:01:29
SMS,Outgoing,0,2010-09-24 06:10:43
SMS,Incoming,0,2010-09-24 06:17:35
SMS,Outgoing,0,2010-09-24 06:32:57
SMS,Incoming,0,2010-09-24 06:34:10
SMS,Outgoing,0,2010-09-24 06:34:56
Voice,Outgoing,196,2010-09-24 07:17:26
Voice,Outgoing,197,2010-09-24 07:21:11
Voice,Incoming,147,2010-09-24 07:28:03
Voice,Outgoing,0,2010-09-24 07:31:04
SMS,Outgoing,0,2010-09-24 07:34:36
Voice,Outgoing,73,2010-09-24 07:36:10
Voice,Outgoing,323,2010-09-24 07:39:43
Data,Outgoing,87,2010-09-24 07:50:04
Data,Outgoing,74,2010-09-24 07:51:36
Data,Outgoing,28,2010-09-24 07:52:55
Voice,Outgoing,194,2010-09-24 07:54:29
Voice,Outgoing,141,2010-09-24 07:58:12
Voice,Outgoing,0,2010-09-24 08:00:41
SMS,Outgoing,0,2010-09-24 08:15:26
SMS,Outgoing,0,2010-09-24 08:17:22
SMS,Outgoing,0,2010-09-24 08:18:06
Voice,Incoming,183,2010-09-24 08:22:10
Voice,Incoming,92,2010-09-24 08:25:28
SMS,Incoming,0,2010-09-24 08:26:57
Voice,Outgoing,164,2010-09-24 08:28:23
Voice,Outgoing,0,2010-09-24 08:31:17
Voice,Incoming,195,2010-09-24 08:33:04
Voice,Missed call,0,2010-09-24 08:43:06
SMS,Outgoing,0,2010-09-24 08:44:00
SMS,Incoming,0,2010-09-24 08:44:41
SMS,Outgoing,0,2010-09-24 08:46:06
SMS,Incoming,0,2010-09-24 08:46:34
Voice,Incoming,141,2010-09-24 09:19:34
Voice,Outgoing,70,2010-09-24 09:22:30
Voice,Outgoing,118,2010-09-24 09:28:29
SMS,Outgoing,0,2010-09-24 09:30:56
Voice,Incoming,676,2010-09-24 09:37:55
SMS,Incoming,0,2010-09-24 09:38:28
SMS,Incoming,0,2010-09-24 09:39:37
SMS,Incoming,0,2010-09-24 09:52:37
SMS,Outgoing,0,2010-09-24 10:19:33
SMS,Incoming,0,2010-09-24 10:29:59
SMS,Outgoing,0,2010-09-24 10:30:36
Voice,Incoming,16,2010-09-24 10:35:27
Voice,Incoming,39,2010-09-24 10:36:00
Voice,Outgoing,68,2010-09-24 10:37:00
Voice,Outgoing,19,2010-09-24 10:38:24
Voice,Outgoing,108,2010-09-24 10:39:39
Voice,Incoming,15,2010-09-24 11:33:36
Voice,Outgoing,14,2010-09-24 11:34:37
SMS,Incoming,0,2010-09-24 11:34:38
SMS,Outgoing,0,2010-09-24 11:35:45
SMS,Incoming,0,2010-09-24 11:36:12
Voice,Incoming,11,2010-09-24 11:37:33
Voice,Outgoing,0,2010-09-24 11:52:06
SMS,Outgoing,0,2010-09-24 11:52:11
Voice,Incoming,34,2010-09-24 11:52:42
Voice,Missed call,0,2010-09-24 12:04:20
Voice,Outgoing,186,2010-09-24 12:06:37
Voice,Outgoing,0,2010-09-24 12:11:06
SMS,Outgoing,0,2010-09-24 12:12:03
SMS,Incoming,0,2010-09-24 12:13:00
Voice,Outgoing,0,2010-09-24 12:18:31
SMS,Outgoing,0,2010-09-24 12:20:06
Voice,Outgoing,202,2010-09-24 12:20:16
Voice,Outgoing,0,2010-09-24 12:25:19
Voice,Outgoing,0,2010-09-24 12:26:29
Voice,Incoming,52,2010-09-24 12:26:51
SMS,Incoming,0,2010-09-24 12:27:05
Voice,Incoming,27,2010-09-24 12:30:56
Voice,Outgoing,61,2010-09-24 12:31:52
Voice,Incoming,189,2010-09-24 12:41:07
SMS,Incoming,0,2010-09-24 12:42:44
SMS,Outgoing,0,2010-09-24 12:45:12
Voice,Incoming,53,2010-09-24 12:46:36
Voice,Outgoing,144,2010-09-24 12:48:48
Voice,Missed call,0,2010-09-24 12:55:03
Voice,Outgoing,45,2010-09-24 12:59:48
Voice,Incoming,56,2010-09-24 13:04:12
Voice,Outgoing,0,2010-09-24 13:12:36
Voice,Outgoing,133,2010-09-24 13:27:00
Voice,Outgoing,137,2010-09-24 13:29:31
Voice,Incoming,49,2010-09-24 13:34:13
Voice,Outgoing,98,2010-09-24 13:39:34
Voice,Missed call,0,2010-09-24 15:13:36
SMS,Outgoing,0,2010-09-24 16:31:52
Voice,Missed call,0,2010-09-24 16:35:40
SMS,Incoming,0,2010-09-24 16:41:55
Voice,Outgoing,21,2010-09-24 16:42:25
SMS,Incoming,0,2010-09-24 16:56:28
Voice,Missed call,0,2010-09-24 17:08:44
Voice,Missed call,0,2010-09-24 17:09:21
Voice,Outgoing,6,2010-09-24 17:30:52
Voice,Outgoing,0,2010-09-24 17:40:20
Voice,Outgoing,0,2010-09-24 17:40:48
SMS,Outgoing,0,2010-09-24 17:43:43
Voice,Missed call,0,2010-09-24 17:47:15
Voice,Missed call,0,2010-09-24 17:47:42
SMS,Outgoing,0,2010-09-24 17:47:50
SMS,Incoming,0,2010-09-24 17:49:01
Voice,Outgoing,40,2010-09-24 17:49:51
SMS,Incoming,0,2010-09-24 17:56:49
SMS,Outgoing,0,2010-09-24 17:58:01
SMS,Outgoing,0,2010-09-24 18:04:35
SMS,Incoming,0,2010-09-24 18:10:38
Voice,Outgoing,20,2010-09-24 18:29:41
Voice,Outgoing,43,2010-09-24 18:57:15
Voice,Outgoing,1,2010-09-24 19:18:52
Voice,Outgoing,0,2010-09-24 19:19:05
Voice,Outgoing,119,2010-09-24 19:20:10
Voice,Outgoing,56,2010-09-24 19:41:02
Voice,Outgoing,0,2010-09-24 19:42:11
SMS,Outgoing,0,2010-09-24 19:42:38
Voice,Outgoing,0,2010-09-24 19:47:22
SMS,Outgoing,0,2010-09-24 20:25:48
SMS,Outgoing,0,2010-09-24 20:25:53
SMS,Outgoing,0,2010-09-24 20:26:00
SMS,Incoming,0,2010-09-24 20:38:23
Voice,Outgoing,191,2010-09-24 20:51:53
SMS,Incoming,0,2010-09-24 21:21:04
SMS,Outgoing,0,2010-09-24 21:23:12
SMS,Outgoing,0,2010-09-24 21:31:35
SMS,Incoming,0,2010-09-24 21:48:11
SMS,Incoming,0,2010-09-24 22:00:59
Voice,Outgoing,9,2010-09-24 22:11:45
Data,Outgoing,51,2010-09-24 22:25:51
SMS,Outgoing,0,2010-09-24 22:28:46
SMS,Outgoing,0,2010-09-24 22:32:56
SMS,Incoming,0,2010-09-24 22:33:14
Voice,Incoming,41,2010-09-24 22:34:14
SMS,Outgoing,0,2010-09-24 23:12:46
SMS,Incoming,0,2010-09-24 23:12:59
Voice,Outgoing,37,2010-09-24 23:14:11
Voice,Outgoing,7,2010-09-24 23:16:20
SMS,Outgoing,0,2010-09-24 23:17:23
SMS,Incoming,0,2010-09-24 23:17:29
SMS,Outgoing,0,2010-09-24 23:20:58
SMS,Outgoing,0,2010-09-24 23:22:38
SMS,Incoming,0,2010-09-24 23:22:44
Voice,Outgoing,64,2010-09-24 23:26:43
SMS,Incoming,0,2010-09-24 23:34:48
Voice,Incoming,44,2010-09-24 23:37:55
SMS,Outgoing,0,2010-09-24 23:48:09
SMS,Incoming,0,2010-09-24 23:48:14
Voice,Incoming,35,2010-09-24 23:48:46
SMS,Outgoing,0,2010-09-25 00:10:10
Voice,Incoming,23,2010-09-25 00:27:44
SMS,Outgoing,0,2010-09-25 00:31:53
SMS,Incoming,0,2010-09-25 00:32:01
SMS,Outgoing,0,2010-09-25 00:32:30
SMS,Incoming,0,2010-09-25 00:32:48
SMS,Outgoing,0,2010-09-25 00:33:06
SMS,Incoming,0,2010-09-25 00:33:18
SMS,Outgoing,0,2010-09-25 00:33:44
SMS,Outgoing,0,2010-09-25 00:43:01
SMS,Incoming,0,2010-09-25 00:43:17
SMS,Outgoing,0,2010-09-25 00:44:48
Voice,Incoming,40,2010-09-25 01:01:41
SMS,Incoming,0,2010-09-25 01:12:24
SMS,Outgoing,0,2010-09-25 01:26:59
SMS,Incoming,0,2010-09-25 01:27:06
Voice,Outgoing,31,2010-09-25 01:44:26
Data,Outgoing,92,2010-09-25 02:30:27
SMS,Outgoing,0,2010-09-25 03:57:06
SMS,Incoming,0,2010-09-25 04:05:41
SMS,Outgoing,0,2010-09-25 04:10:26
SMS,Incoming,0,2010-09-25 04:12:41
SMS,Incoming,0,2010-09-25 04:19:57
SMS,Outgoing,0,2010-09-25 04:59:42
Voice,Incoming,25,2010-09-25 05:09:54
SMS,Outgoing,0,2010-09-25 05:15:38
Data,Outgoing,283,2010-09-25 05:19:38
SMS,Incoming,0,2010-09-25 05:23:01
Voice,Outgoing,21,2010-09-25 05:24:05
Voice,Outgoing,54,2010-09-25 05:25:03
Voice,Incoming,253,2010-09-25 06:18:09
Voice,Outgoing,114,2010-09-25 06:56:06
Voice,Incoming,110,2010-09-25 07:30:33
Voice,Outgoing,0,2010-09-25 08:21:20
Voice,Outgoing,0,2010-09-25 08:21:48
SMS,Outgoing,0,2010-09-25 08:23:12
Data,Outgoing,9,2010-09-25 08:35:39
Data,Outgoing,52,2010-09-25 08:35:51
SMS,Incoming,0,2010-09-25 08:52:54
SMS,Outgoing,0,2010-09-25 09:01:40
SMS,Incoming,0,2010-09-25 09:04:42
SMS,Outgoing,0,2010-09-25 09:05:55
SMS,Incoming,0,2010-09-25 09:07:06
Voice,Outgoing,527,2010-09-25 09:14:17
Voice,Outgoing,107,2010-09-25 09:23:57
SMS,Outgoing,0,2010-09-25 09:59:32
SMS,Outgoing,0,2010-09-25 11:12:10
Voice,Outgoing,86,2010-09-25 11:25:11
Data,Outgoing,59,2010-09-25 11:26:45
Voice,Outgoing,0,2010-09-25 11:27:24
Voice,Outgoing,0,2010-09-25 11:27:46
SMS,Incoming,0,2010-09-25 12:46:46
SMS,Outgoing,0,2010-09-25 14:36:37
SMS,Incoming,0,2010-09-25 14:40:28
SMS,Outgoing,0,2010-09-25 14:43:11
Voice,Outgoing,0,2010-09-25 15:36:55
Voice,Outgoing,0,2010-09-25 15:37:21
Voice,Outgoing,0,2010-09-25 15:38:03
Voice,Outgoing,0,2010-09-25 15:38:25
Data,Outgoing,28,2010-09-25 15:38:45
SMS,Incoming,0,2010-09-25 15:39:07
SMS,Outgoing,0,2010-09-25 15:39:51
Data,Outgoing,62,2010-09-25 15:41:23
Data,Outgoing,101,2010-09-25 16:03:36
Voice,Outgoing,0,2010-09-25 16:28:57
Voice,Outgoing,0,2010-09-25 16:58:25
Voice,Outgoing,0,2010-09-25 17:10:24
Voice,Incoming,107,2010-09-25 17:19:48
SMS,Outgoing,0,2010-09-25 17:40:18
SMS,Incoming,0,2010-09-25 17:40:53
Voice,Outgoing,16,2010-09-25 17:41:42
Data,Outgoing,39,2010-09-25 17:43:20
Voice,Missed call,0,2010-09-25 17:44:20
Voice,Outgoing,256,2010-09-25 17:44:56
Voice,Outgoing,356,2010-09-25 18:02:00
