"vehicleType",batteryVoltage,engineCoolantTemperature,engineSpeed,lateralGForce,longitudeGForce,speed,verticalGForce
"2015 Porsche GT3","14.061",91,7178,"0.74","-0.07",82,"-2.0"
"2015 Porsche GT3","13.823",89,3860,"-0.07","-0.05",56,"-2.0"
"2015 Porsche GT3","13.823",89,3907,"-0.49","-0.35",57,"-2.0"
"2015 Porsche GT3","13.822",88,4312,"-0.48","-0.41",61,"-2.0"
"2015 Porsche GT3","13.822",88,4437,"-0.41","-0.34",63,"-2.0"
"2014 Chevrolet Corvette","14.482",104,4384,"0.45","0.62",70,"-0.17"
"2015 Porsche GT3","13.822",88,4733,"-0.13","-0.03",69,"-2.0"
"2011 Ferrari 458","13.947",85,5010,"1.05","-0.93",62,"0.01"
"2015 Porsche GT3","13.822",88,4621,"0.31","0.25",67,"-2.0"
"2015 Porsche GT3","13.822",88,4544,"0.24","0.23",66,"-2.0"
"2011 Ferrari 458","13.715",87,2108,"0.95","-0.05",47,"-0.04"
"2015 Porsche GT3","13.833",88,4456,"0.17","0.14",65,"-2.0"
"2008 BMW M3","13.806",80,4112,"-0.05","-0.89",67,"0.09"
"2014 Chevrolet Corvette","14.722",104,4465,"0.45","-0.4",72,"-0.17"
"2015 Porsche GT3","13.833",88,4405,"0.26","0.15",64,"-2.0"
"2015 Porsche GT3","13.833",88,4387,"0.25","0.17",64,"-2.0"
"2015 Porsche GT3","13.833",88,4310,"0.04","0.09",64,"-2.0"
"2015 Porsche GT3","13.833",88,4246,"-0.39","-0.16",62,"-2.0"
"2015 Porsche GT3","13.845",87,4187,"-0.55","-0.26",62,"-2.0"
"2014 Chevrolet Corvette","14.562",105,3907,"0.48","0.65",90,"-0.17"
"2014 Chevrolet Corvette","14.768",105,4324,"0.75","0.34",69,"-0.17"
"2015 Porsche GT3","13.845",87,4106,"-0.41","-0.23",60,"-2.0"
"2015 Porsche GT3","13.845",87,4107,"-0.23","-0.12",60,"-2.0"
"2008 BMW M3","13.837",84,6197,"-0.01","-0.95",77,"-0.03"
"2015 Porsche GT3","14.221",92,7064,"0.63","0.56",103,"-2.0"
"2015 Porsche GT3","13.845",87,3805,"-0.05","0.09",55,"-2.0"
"2014 Chevrolet Corvette","14.605",106,5721,"0.66","0.38",93,"-0.17"
"2015 Porsche GT3","13.866",86,3552,"-0.04","0.09",51,"-2.0"
"2015 Porsche GT3","14.044",90,5392,"-0.81","-0.46",62,"-2.0"
"2015 Porsche GT3","13.866",86,3318,"-0.02","0.09",48,"-2.0"
"2015 Porsche GT3","13.866",86,3196,"-0.05","0.06",46,"-2.0"
"2011 Ferrari 458","13.982",86,4163,"0.83","-0.69",64,"0.04"
"2015 Porsche GT3","13.866",86,2822,"-0.08","0.05",42,"-2.0"
"2008 BMW M3","13.831",84,5864,"-0.11","-1.1",73,"0.02"
"2011 Ford Mustang GT500","13.952",80,838,"0.9","-0.13",5,"-2.0"
"2014 Chevrolet Corvette","14.659",104,5262,"0.75","0.11",85,"-0.17"
"2015 Porsche GT3","13.848",86,2129,"-0.11","0.12",29,"-2.0"
"2015 Porsche GT3","13.848",86,2073,"-0.19","0.01",27,"-2.0"
"2015 Porsche GT3","13.848",86,2311,"-0.34","-0.08",25,"-2.0"
"2011 Ferrari 458","13.93",85,1999,"1.02","0.02",45,"-0.09"
"2014 Chevrolet Corvette","14.481",103,4322,"0.22","0.62",69,"-0.17"
"2015 Porsche GT3","13.848",86,2580,"-0.18","-0.12",21,"-2.0"
"2015 Porsche GT3","13.836",86,2587,"-0.18","-0.11",21,"-2.0"
"2015 Porsche GT3","13.836",86,2620,"-0.18","-0.12",21,"-2.0"
"2015 Porsche GT3","13.836",86,2704,"-0.16","-0.1",22,"-2.0"
"2015 Porsche GT3","13.836",86,2814,"-0.02","-0.03",22,"-2.0"
"2015 Porsche GT3","13.836",86,2853,"0.11","0.07",23,"-2.0"
"2015 Porsche GT3","13.836",86,2665,"0.01","0.13",22,"-2.0"
"2013 Audi RS5","13.977",96,6100,"0.7","0.66",68,"0.7"
"2008 BMW M3","13.832",89,4863,"-0.14","-1.0",60,"0.33"
"2015 Porsche GT3","13.834",87,1666,"-0.14","-0.15",14,"-2.0"
"2008 BMW M3","13.846",90,6526,"0.3","-0.96",80,"0.14"
"2015 Porsche GT3","13.834",87,2098,"-0.14","-0.21",17,"-2.0"
"2015 Porsche GT3","13.834",87,2428,"-0.14","-0.25",20,"-2.0"
"2014 Chevrolet Corvette","14.551",102,3319,"0.47","-1.05",37,"-0.17"
"2008 BMW M3","13.858",85,4872,"0.06","-0.97",60,"-0.29"
"2015 Porsche GT3","13.834",87,3297,"0.05","-0.02",27,"-2.0"
"2015 Porsche GT3","13.822",87,3377,"-0.01","0.13",27,"-2.0"
"2015 Porsche GT3","13.822",87,2852,"-0.02","0.15",25,"-2.0"
"2015 Porsche GT3","13.822",87,2403,"-0.03","0.2",22,"-2.0"
"2014 Chevrolet Corvette","14.64",105,3059,"0.06","-0.02",83,"-0.17"
"2015 Porsche GT3","13.822",87,1705,"-0.31","0.04",13,"-2.0"
"2015 Porsche GT3","13.822",87,1149,"-0.33","0.07",8,"-2.0"
"2015 Porsche GT3","13.822",87,895,"-0.24","0.0",6,"-2.0"
"2014 Chevrolet Corvette","14.642",103,2402,"0.32","0.02",38,"-0.17"
"2015 Porsche GT3","13.831",88,799,"-0.02","0.08",3,"-2.0"
"2015 Porsche GT3","13.831",88,792,"-0.05","0.11",1,"-2.0"
"2015 Porsche GT3","14.223",91,5101,"-0.81","0.0",72,"-2.0"
"2011 Ferrari 458","14.092",84,3351,"1.01","0.11",77,"-0.07"
"2014 Chevrolet Corvette","14.463",105,4391,"0.06","0.02",69,"-0.17"
"2015 Porsche GT3","14.024",90,6230,"-0.31","-0.6",72,"-2.0"
"2011 Ferrari 458","14.092",84,3367,"1.03","0.12",77,"-0.1"
"2011 Ford Mustang GT500","13.711",90,4330,"1.3","0.61",93,"-2.0"
"2011 Ferrari 458","14.092",84,3369,"1.09","0.11",77,"-0.07"
"2011 Ford Mustang GT500","13.711",90,4360,"1.12","0.87",94,"-2.0"
"2011 Ferrari 458","14.099",84,3375,"0.99","0.1",77,"-0.09"
"2011 Ford Mustang GT500","13.711",90,4378,"0.8","0.59",94,"-2.0"
"2015 Porsche GT3","14.019",88,4589,"0.63","0.11",67,"-2.0"
"2011 Ford Mustang GT500","13.711",90,4275,"1.29","0.61",92,"-2.0"
"2011 Ferrari 458","14.099",84,3375,"0.93","0.05",77,"-0.07"
"2011 Ford Mustang GT500","13.711",90,4193,"0.6","0.21",90,"-2.0"
"2011 Ferrari 458","14.099",84,3372,"0.96","0.0",77,"-0.08"
"2013 Audi RS5","13.83",16,6302,"0.85","-0.77",70,"0.65"
"2011 Ferrari 458","14.061",84,3136,"0.89","-0.05",71,"-0.05"
"2011 Ford Mustang GT500","13.711",90,3733,"1.07","-0.67",80,"-2.0"
"2008 BMW M3","13.853",84,820,"0.09","-1.01",7,"0.05"
"2011 Ford Mustang GT500","13.711",90,3755,"1.08","-0.81",80,"-2.0"
"2011 Ferrari 458","13.955",86,4814,"1.12","0.61",75,"-0.01"
"2008 BMW M3","13.825",83,1190,"-0.15","-1.05",55,"0.11"
"2011 Ford Mustang GT500","13.694",89,3748,"0.86","-0.76",80,"-2.0"
"2011 Ford Mustang GT500","13.694",89,3763,"0.7","-0.67",81,"-2.0"
"2011 Ferrari 458","14.095",84,3226,"0.95","0.0",73,"-0.11"
"2011 Ford Mustang GT500","13.694",89,3770,"0.77","-0.23",81,"-2.0"
"2015 Porsche GT3","14.097",88,5612,"-0.04","-0.38",72,"-2.0"
"2011 Ford Mustang GT500","13.694",89,3636,"0.88","-0.08",78,"-2.0"
"2011 Ferrari 458","14.095",84,3159,"0.97","-0.03",72,"-0.11"
"2014 Chevrolet Corvette","14.64",102,1053,"0.5","-0.12",8,"-0.17"
"2011 Ferrari 458","14.095",84,3144,"1.06","-0.07",72,"-0.09"
"2011 Ford Mustang GT500","13.694",89,3145,"0.86","-0.11",67,"-2.0"
"2011 Ferrari 458","14.095",84,3112,"1.03","-0.04",71,"-0.09"
"2011 Ford Mustang GT500","13.694",89,2810,"0.73","-0.09",60,"-2.0"
"2011 Ferrari 458","14.095",84,3066,"1.02","-0.04",70,"-0.11"
"2011 Ford Mustang GT500","13.694",89,2619,"0.74","0.06",56,"-2.0"
"2011 Ferrari 458","14.095",84,3035,"0.95","-0.03",70,"-0.12"
"2011 Ford Mustang GT500","13.687",83,3529,"1.04","0.17",58,"-2.0"
"2011 Ford Mustang GT500","13.607",89,2464,"0.86","0.04",52,"-2.0"
"2011 Ford Mustang GT500","13.607",89,2368,"0.87","-0.02",50,"-2.0"
"2011 Ford Mustang GT500","13.607",89,1804,"0.92","0.02",47,"-2.0"
"2011 Ferrari 458","14.072",83,2948,"1.2","-0.02",68,"-0.11"
"2011 Ford Mustang GT500","13.607",89,1550,"1.03","-0.01",45,"-2.0"
"2011 Ferrari 458","14.072",83,2913,"0.97","-0.03",67,"-0.1"
"2011 Ford Mustang GT500","13.607",89,1100,"0.98","0.02",44,"-2.0"
"2011 Ferrari 458","14.072",83,2889,"1.03","0.0",65,"-0.09"
"2011 Ford Mustang GT500","13.659",94,981,"0.79","0.22",8,"-2.0"
"2011 Ferrari 458","14.072",83,2802,"0.99","-0.03",64,"-0.16"
"2011 Ford Mustang GT500","13.607",89,952,"0.87","-0.05",34,"-2.0"
"2011 Ferrari 458","14.072",83,2780,"0.99","-0.03",64,"-0.03"
"2011 Ford Mustang GT500","13.607",89,949,"0.79","-0.07",29,"-2.0"
"2011 Ferrari 458","14.028",86,4172,"0.95","0.38",52,"-0.09"
"2011 Ford Mustang GT500","13.644",89,963,"0.99","-0.25",27,"-2.0"
"2011 Ferrari 458","14.072",83,2768,"0.98","-0.02",62,"-0.11"
"2011 Ford Mustang GT500","13.644",89,964,"0.97","-0.29",27,"-2.0"
"2011 Ferrari 458","14.072",83,2655,"1.02","-0.05",60,"-0.18"
"2011 Ford Mustang GT500","13.644",89,950,"0.91","-0.23",26,"-2.0"
"2011 Ferrari 458","14.035",83,2562,"1.04","-0.03",59,"-0.21"
"2011 Ferrari 458","13.973",85,3928,"1.02","0.63",39,"0.16"
"2011 Ferrari 458","14.035",83,2391,"0.96","-0.03",54,"-0.2"
"2011 Ford Mustang GT500","13.644",89,960,"0.84","-0.29",25,"-2.0"
"2011 Ferrari 458","14.035",83,2270,"0.91","-0.01",51,"-0.16"
"2011 Ford Mustang GT500","13.644",89,945,"0.94","-0.26",24,"-2.0"
"2011 Ferrari 458","14.035",83,2156,"0.96","-0.03",49,"-0.15"
"2011 Ferrari 458","13.925",84,1063,"0.98","-0.04",3,"-0.11"
"2011 Ferrari 458","14.035",83,2104,"1.0","-0.02",48,"-0.1"
"2011 Ford Mustang GT500","13.644",89,967,"0.92","-0.06",23,"-2.0"
"2011 Ford Mustang GT500","13.664",88,1159,"1.01","0.02",23,"-2.0"
"2011 Ferrari 458","14.035",83,2062,"1.01","-0.01",47,"-0.07"
"2011 Ford Mustang GT500","13.664",88,1853,"0.89","0.13",22,"-2.0"
"2015 Porsche GT3","14.013",91,6724,"0.69","-0.02",98,"-2.0"
"2011 Ford Mustang GT500","13.664",88,1817,"1.0","0.09",21,"-2.0"
"2015 Porsche GT3","13.866",92,6626,"-0.4","-0.55",97,"-2.0"
"2011 Ferrari 458","14.023",84,2056,"0.95","-0.02",47,"-0.03"
"2015 Porsche GT3","14.102",90,4807,"0.47","0.3",70,"-2.0"
"2008 BMW M3","13.837",84,4220,"-0.13","-0.98",34,"-0.7"
"2011 Ford Mustang GT500","13.664",88,1607,"0.78","0.07",19,"-2.0"
"2011 Ferrari 458","14.023",84,2107,"1.01","0.0",47,"-0.04"
"2008 BMW M3","13.879",87,3062,"0.19","-0.95",37,"-0.56"
"2011 Ferrari 458","14.023",84,2116,"0.97","-0.02",48,"-0.03"
"2011 Ford Mustang GT500","13.664",88,1444,"0.89","-0.13",17,"-2.0"
"2011 Ferrari 458","14.023",84,2160,"0.98","-0.03",49,"-0.03"
"2013 Audi RS5","13.839",96,6130,"0.32","-0.02",66,"1.01"
"2011 Ferrari 458","14.023",84,2141,"0.97","0.0",49,"-0.16"
"2015 Porsche GT3","13.969",90,5594,"-0.51","-0.8",45,"-2.0"
"2011 Ford Mustang GT500","13.647",87,1635,"0.91","-0.26",19,"-2.0"
"2011 Ford Mustang GT500","14.018",89,3558,"0.84","-0.89",42,"-2.0"
"2011 Ferrari 458","14.07",84,3083,"1.0","-0.08",70,"-0.16"
"2011 Ferrari 458","13.999",84,1886,"1.0","-0.04",43,"-0.25"
"2014 Chevrolet Corvette","14.686",103,3666,"0.47","0.87",59,"-0.17"
"2011 Ferrari 458","13.999",84,1764,"0.94","-0.03",40,"-0.15"
"2011 Ford Mustang GT500","13.647",87,1967,"1.02","-0.04",23,"-2.0"
"2015 Porsche GT3","14.008",90,6742,"0.97","0.17",77,"-2.0"
"2011 Ford Mustang GT500","13.647",87,1961,"0.98","0.0",23,"-2.0"
"2013 Audi RS5","14.207",99,1867,"0.61","0.06",8,"0.79"
"2011 Ford Mustang GT500","13.647",87,1914,"0.82","0.05",22,"-2.0"
"2011 Ferrari 458","13.999",84,1500,"0.99","-0.04",34,"-0.25"
"2011 Ford Mustang GT500","13.647",87,1775,"0.88","0.11",21,"-2.0"
"2011 Ferrari 458","13.999",84,1418,"0.99","-0.04",32,"-0.2"
"2011 Ford Mustang GT500","13.647",87,1747,"0.95","0.28",20,"-2.0"
"2011 Ferrari 458","13.999",84,1352,"0.95","-0.03",30,"-0.14"
"2011 Ferrari 458","14.058",84,3188,"1.02","-0.04",72,"-0.1"
"2011 Ferrari 458","13.999",84,1333,"1.01","-0.02",29,"-0.12"
"2011 Ford Mustang GT500","13.659",87,2185,"0.9","0.02",26,"-2.0"
"2011 Ford Mustang GT500","13.659",87,2354,"0.99","-0.03",28,"-2.0"
"2011 Ferrari 458","14.021",84,3286,"1.04","-0.02",75,"-0.07"
"2011 Ford Mustang GT500","13.659",87,2480,"0.9","-0.1",29,"-2.0"
"2011 Ford Mustang GT500","13.659",87,2521,"1.01","-0.04",30,"-2.0"
"2011 Ford Mustang GT500","13.659",87,2507,"0.91","-0.11",30,"-2.0"
"2013 Audi RS5","14.09",94,6224,"0.49","-0.07",70,"0.85"
"2011 Ford Mustang GT500","13.636",88,2463,"0.88","-0.05",29,"-2.0"
"2011 Ferrari 458","14.011",84,1982,"1.02","-0.04",45,"-0.11"
