_time,ac_power,total-unhalted_core_cycles,total-instructions_retired,total-last_level_cache_references,total-memory_bus_transactions,total-cpu-utilization,total-disk-accesses,total-disk-blocks,total-disk-utilization
13:52:51 2008-Apr-14,220.0,5096520,4023613,88154,6399,0.00,7.79,93.51,2.34
13:52:52 2008-Apr-14,220.0,4430485,3836589,71105,3531,0.00,0,0,0
13:52:53 2008-Apr-14,221.0,4546305,3870611,78854,4019,0.00,0.61,4.91,0.98
13:52:54 2008-Apr-14,220.0,4393895,3820297,71203,3628,0.00,0,0,0
13:52:55 2008-Apr-14,221.0,4886599,3990732,81790,5329,0.00,0,0,0
13:52:56 2008-Apr-14,220.0,4970715,3984239,88332,6155,0.00,35.14,410.81,10.81
13:52:57 2008-Apr-14,221.0,6088233,4484283,98552,8123,0.00,0,0,0
13:52:58 2008-Apr-14,220.0,5224344,4108976,87458,5803,0.99,2.7,21.62,6.49
13:52:59 2008-Apr-14,221.0,5422310,4175117,94130,6654,0.99,0,0,0
13:53:00 2008-Apr-14,219.0,4830297,3951573,81939,5044,0.00,0,0,0
13:53:01 2008-Apr-14,220.0,5198737,4054994,91096,6835,0.00,7.84,94.12,2.61
13:53:02 2008-Apr-14,221.0,4338279,3816305,71088,3427,0.00,0,0,0
13:53:03 2008-Apr-14,220.0,4716544,3942016,79138,4870,0.00,0.61,4.91,1.23
13:53:04 2008-Apr-14,221.0,4411627,3815478,72348,3554,0.00,0,0,0
13:53:05 2008-Apr-14,219.0,4813027,4006128,80436,5023,0.00,0,0,0
13:53:06 2008-Apr-14,220.0,5347380,4117351,91758,6639,-0.00,35.14,410.81,15.14
13:53:07 2008-Apr-14,220.0,4747749,3939908,79824,4803,0.00,0,0,0
13:53:08 2008-Apr-14,221.0,5104624,4047082,86061,7033,0.00,37.84,410.81,6.49
13:53:09 2008-Apr-14,220.0,4914843,4010570,85462,5122,0.00,0,0,0
13:53:10 2008-Apr-14,220.0,4691278,3878312,76442,4843,0.00,0,0,0
13:53:11 2008-Apr-14,220.0,5339765,4101927,93070,7073,0.00,8.44,93.51,3.38
13:53:12 2008-Apr-14,220.0,4304240,3763292,69549,3126,0.00,0,0,0
13:53:13 2008-Apr-14,220.0,5347419,4023550,93735,6870,0.00,6.17,49.38,1.48
13:53:14 2008-Apr-14,220.0,4329066,3777076,71296,3482,0.00,0,0,0
13:53:15 2008-Apr-14,220.0,5060754,4015215,86072,6050,0.00,0,0,0
13:53:16 2008-Apr-14,219.0,5120212,3980603,87139,6246,0.00,34.21,421.05,13.68
13:53:17 2008-Apr-14,220.0,5048625,3977288,87735,4964,0.00,0,0,0
13:53:18 2008-Apr-14,220.0,5208865,4067064,87155,5749,0.98,5.41,43.24,6.49
13:53:19 2008-Apr-14,220.0,5561408,4192840,94226,6873,0.00,0,0,0
13:53:20 2008-Apr-14,220.0,82323898,52462821,285004,139916,0.99,0,0,0
13:53:21 2008-Apr-14,220.0,5354657,4076505,93890,9262,0.00,14,160,4.8
13:53:22 2008-Apr-14,220.0,4501700,3844004,69794,3509,0.99,0,0,0
13:53:23 2008-Apr-14,221.0,4798380,3931668,80867,5177,0.00,0.71,5.71,1.14
13:53:24 2008-Apr-14,220.0,4484025,3853061,73249,3661,0.98,0,0,0
13:53:25 2008-Apr-14,221.0,4831638,3921820,83338,5475,0.00,0,0,0
13:53:26 2008-Apr-14,220.0,4847691,3890246,79487,5946,1.00,32.43,389.19,12.97
13:53:27 2008-Apr-14,220.0,4651550,3891076,77784,4631,0.00,0,0,0
13:53:28 2008-Apr-14,221.0,4714323,3910462,78510,4419,0.00,2.7,21.62,4.32
13:53:29 2008-Apr-14,219.0,5085201,4009185,89766,6590,0.00,0,0,0
13:53:30 2008-Apr-14,220.0,4763214,3909880,80654,4737,0.00,0,0,0
13:53:31 2008-Apr-14,220.0,5048871,3958163,88464,6260,-0.00,13,160,5.6
13:53:32 2008-Apr-14,220.0,4408034,3807604,73329,3629,0.00,0,0,0
13:53:33 2008-Apr-14,220.0,4983802,4005043,85909,4922,0.00,0.61,4.91,1.23
13:53:34 2008-Apr-14,220.0,4271401,3762376,71303,3308,0.00,0,0,0
13:53:35 2008-Apr-14,220.0,5123686,4037575,84120,6211,0.00,0,0,0
13:53:36 2008-Apr-14,220.0,4873253,3911306,85761,5757,0.00,32.43,410.81,14.05
13:53:37 2008-Apr-14,220.0,5377325,4190226,92622,6113,0.00,0,0,0
13:53:38 2008-Apr-14,220.0,5401817,4171748,88667,6503,0.00,1,8,2
13:53:39 2008-Apr-14,221.0,5489768,4185046,95580,6590,0.00,0,0,0
13:53:40 2008-Apr-14,219.0,5137709,4003582,84976,6207,0.00,0,0,0
13:53:41 2008-Apr-14,220.0,5241597,4088934,92453,6862,0.00,10.39,140.26,2.86
13:53:42 2008-Apr-14,220.0,6325864,7177874,98179,23585,0.00,0,0,0
13:53:43 2008-Apr-14,221.0,4869228,3949433,84305,5791,0.00,1.3,10.39,1.56
13:53:44 2008-Apr-14,220.0,4219017,3740992,69680,3069,0.00,0,0,0
13:53:45 2008-Apr-14,220.0,4724802,3922924,79570,4887,0.00,0,0,0
13:53:46 2008-Apr-14,219.0,4923348,3942864,80958,5592,-0.00,32.43,389.19,10.81
13:53:47 2008-Apr-14,221.0,4694930,3904720,78885,4774,0.00,0,0,0
13:53:48 2008-Apr-14,220.0,5069148,4016960,88072,6651,0.00,32.43,259.46,9.73
13:53:49 2008-Apr-14,220.0,4780962,3935060,82229,4596,0.00,0,0,0
13:53:50 2008-Apr-14,220.0,4750410,3904440,75815,5185,0.00,0,0,0
13:53:51 2008-Apr-14,221.0,5272645,4079519,91442,6987,0.00,8.39,103.23,2.32
13:53:52 2008-Apr-14,220.0,4271311,3751935,68128,2949,0.00,0,0,0
13:53:53 2008-Apr-14,220.0,5155638,4056711,92815,6316,0.00,6.13,49.08,1.96
13:53:54 2008-Apr-14,221.0,4347611,3785916,72193,3645,0.00,0,0,0
13:53:55 2008-Apr-14,221.0,5074322,4036917,86943,6661,0.00,0,0,0
13:53:56 2008-Apr-14,219.0,5061498,3948325,86068,6256,0.00,32.43,389.19,11.89
13:53:57 2008-Apr-14,220.0,5268357,4107268,90073,5684,0.00,0,0,0
13:53:58 2008-Apr-14,221.0,5967059,4427824,96311,8014,0.99,5.41,43.24,5.41
13:53:59 2008-Apr-14,220.0,6333287,4552422,100086,8982,0.00,0,0,0
13:54:00 2008-Apr-14,219.5,5389952,4212862,87483,6255,0.00,0,0,0
13:54:01 2008-Apr-14,219.0,4950101,3940789,87913,5649,0.99,8.5,104.58,2.61
13:54:02 2008-Apr-14,220.0,4210777,3760703,68256,2903,0.00,0,0,0
13:54:03 2008-Apr-14,220.0,4848740,3942322,84238,5292,0.00,1.23,9.82,0.98
13:54:04 2008-Apr-14,221.0,4404464,3800310,70489,3368,0.00,0,0,0
13:54:05 2008-Apr-14,220.0,5033869,4034428,85279,6405,0.00,0,0,0
13:54:06 2008-Apr-14,220.0,4743524,3862206,80042,5580,0.00,51.35,562.16,10.81
13:54:07 2008-Apr-14,220.0,4883022,3978187,82785,5277,0.00,0,0,0
13:54:08 2008-Apr-14,221.0,4493763,3829959,75007,3939,0.00,2.7,21.62,4.32
13:54:09 2008-Apr-14,220.0,4676565,3920357,79087,4423,0.00,0,0,0
13:54:10 2008-Apr-14,220.0,4871437,3968365,78148,5251,0.00,0,0,0
13:54:11 2008-Apr-14,220.0,5154272,4009204,91160,6520,0.00,8.44,103.9,2.34
13:54:12 2008-Apr-14,221.0,4401879,3791108,71540,3305,0.00,0,0,0
13:54:13 2008-Apr-14,220.0,4956544,4001148,81513,5010,0.00,0.61,4.91,1.23
13:54:14 2008-Apr-14,220.0,4527623,3886278,71062,3650,0.99,0,0,0
13:54:15 2008-Apr-14,220.0,5244973,4141897,85703,6408,0.00,0,0,0
13:54:16 2008-Apr-14,220.0,5026652,3995239,85896,5861,-0.00,31.58,378.95,13.68
13:54:17 2008-Apr-14,220.0,5336928,4137642,89739,5785,0.99,0,0,0
13:54:18 2008-Apr-14,220.0,5312665,4141405,85557,5688,0.00,2.63,21.05,5.26
13:54:19 2008-Apr-14,221.0,5420465,4149514,90840,6010,0.00,0,0,0
13:54:20 2008-Apr-14,220.0,5017023,4010193,82489,5320,4.56,0,0,0
13:54:21 2008-Apr-14,221.0,5205644,4021601,93015,6555,0.99,9.09,103.9,3.12
13:54:22 2008-Apr-14,220.0,4326079,3759789,68335,3243,0.00,0,0,0
13:54:23 2008-Apr-14,221.0,4794578,3933694,81969,5097,0.00,1.22,9.76,1.46
13:54:24 2008-Apr-14,220.0,4261837,3764377,68272,3153,0.00,0,0,0
13:54:25 2008-Apr-14,220.0,5038938,3992896,83258,5874,0.00,0,0,0
13:54:26 2008-Apr-14,220.0,4957996,3993578,84528,6262,0.00,35.14,432.43,15.14
13:54:27 2008-Apr-14,221.0,5284129,4123988,89275,6147,0.00,0,0,0
13:54:28 2008-Apr-14,221.0,5180111,4031310,90981,6708,0.00,35.14,281.08,11.89
13:23:01 2008-Apr-15,222.0,5079530,3967379,85468,7693,0.00,0,0,0
13:23:02 2008-Apr-15,222.0,41726035,28913615,602291,185660,0.95,15,376,11.6
13:23:03 2008-Apr-15,231.0,2206157996,8725002973,415171,133086,93.05,18.63,329.41,16.86
13:23:04 2008-Apr-15,235.0,2336914609,6445824532,112876,14978,99.90,0,0,0
13:23:05 2008-Apr-15,235.0,203625595,527808157,131326,22326,14.67,1.23,9.82,1.23
13:23:06 2008-Apr-15,221.0,5009704,3926256,75610,5883,0.00,0,0,0
13:23:07 2008-Apr-15,223.0,5925892,4240314,95069,10202,0.00,0,0,0
13:23:08 2008-Apr-15,221.0,6165317,4268320,103578,13026,0.00,24.56,435.09,17.54
13:23:09 2008-Apr-15,221.0,5579719,4128032,92162,7918,0.00,0,0,0
13:23:10 2008-Apr-15,222.0,4904924,3920345,74854,5320,0.00,0,0,0
13:23:11 2008-Apr-15,223.0,6568087,4379640,108195,13459,0.00,7.78,111.11,5.56
13:23:12 2008-Apr-15,221.0,5131847,3991841,82350,5533,0.00,0,0,0
13:23:13 2008-Apr-15,221.0,5146696,4022260,80798,5689,0.00,0,0,0
13:23:14 2008-Apr-15,223.0,6551763,4405032,108954,13991,-0.00,31,384,12.4
13:23:15 2008-Apr-15,222.0,5275062,4043703,82596,6340,0.99,0,0,0
13:23:16 2008-Apr-15,222.0,4963629,3936058,76090,4733,0.00,0,0,0
13:23:17 2008-Apr-15,222.0,6375869,4354068,107308,11947,-0.00,13.13,177.78,8.08
13:23:18 2008-Apr-15,222.0,5095832,3973303,79432,5403,0.00,0,0,0
13:23:19 2008-Apr-15,222.0,7451449,4675588,126701,16316,0.00,20.73,209.76,11.71
13:23:20 2008-Apr-15,222,82116399,52375871,279714,154372,0.99,0,0,0
13:23:21 2008-Apr-15,222.0,6656470,4347694,108130,15957,-0.00,8.59,132.52,5.4
13:23:22 2008-Apr-15,221.0,6012190,4282714,93960,8268,0.00,0,0,0
13:23:23 2008-Apr-15,222.0,5662638,4129651,92039,7514,0.97,0,0,0
13:23:24 2008-Apr-15,222.0,6639695,4374905,107746,13809,-0.00,11.11,170.94,7.52
13:23:25 2008-Apr-15,221.0,5243600,4020811,81291,5697,0.99,0,0,0
13:23:26 2008-Apr-15,222.0,5027085,3976289,77180,4945,0.00,0,0,0
13:23:27 2008-Apr-15,222.0,6379999,4331772,108757,11179,0.00,13,176,9.2
13:23:28 2008-Apr-15,222.0,5205133,3998468,78919,5069,0.98,0,0,0
13:23:29 2008-Apr-15,221.0,5332815,4047875,81897,5778,0.00,0,0,0
13:23:30 2008-Apr-15,222.0,6375141,4336532,105283,11308,-0.00,14,216,9.2
13:23:31 2008-Apr-15,222.0,5584430,4125700,89745,6904,0.98,0,0,0
13:23:32 2008-Apr-15,222,4919773,3932503,73985,4512,0.00,0,0,0
13:23:33 2008-Apr-15,222.0,6366483,4383417,107103,11051,0.99,14.29,204.08,8.57
13:23:34 2008-Apr-15,222.0,5067587,3979206,77586,5128,0.98,0,0,0
13:23:35 2008-Apr-15,221.0,5153065,4015661,82185,5455,0.00,0,0,0
13:23:36 2008-Apr-15,222.0,4894929,3928518,75382,4430,0.00,0,0,0
13:23:37 2008-Apr-15,221.0,6256316,4314495,104344,10529,0.99,13,176,8
13:23:38 2008-Apr-15,222.0,5611283,4200240,89513,6804,0.98,0,0,0
13:23:39 2008-Apr-15,221.0,6406020,4501372,102118,9465,0.00,0,0,0
13:23:40 2008-Apr-15,222.0,6935540,4662642,110912,12650,-0.00,14,216,9.6
13:23:41 2008-Apr-15,222.0,5544141,4156666,93051,6563,0.00,0,0,0
13:23:42 2008-Apr-15,222.0,7769133,7681887,118935,29986,0.00,0,0,0
13:23:43 2008-Apr-15,222.0,6641067,4395320,113054,14143,-0.00,22,272,9.6
13:23:44 2008-Apr-15,222.0,4872483,3911136,76297,4488,0.00,0,0,0
13:23:45 2008-Apr-15,222.0,5070254,4016945,80592,5372,0.00,0,0,0
13:23:46 2008-Apr-15,221.0,5988066,4265265,100428,10037,-0.00,13,176,9.6
13:23:47 2008-Apr-15,222.0,5179361,4018075,83157,5884,0.00,0,0,0
13:23:48 2008-Apr-15,222.0,5006505,3942127,78655,5446,0.00,0,0,0
13:23:49 2008-Apr-15,222.0,6468624,4390741,108197,11379,-0.00,15,216,9.2
13:23:50 2008-Apr-15,221.0,5072844,4008300,80165,5096,0.00,0,0,0
13:23:51 2008-Apr-15,222.0,5507554,4109344,86831,6488,0.99,0,0,0
13:23:52 2008-Apr-15,221.0,5172832,4020044,76527,5236,0.00,0,0,0
13:23:53 2008-Apr-15,222.0,6324331,4372663,106557,11057,-0.00,14,208,8
13:23:54 2008-Apr-15,222.0,5045250,3973218,78187,5327,0.99,1,8,2
13:23:55 2008-Apr-15,221.0,5225455,4051339,81465,5961,0.00,0,0,0
13:23:56 2008-Apr-15,222.0,5993687,4266474,98953,9371,0.00,32.5,440,19
13:23:57 2008-Apr-15,222.0,5319563,4085999,86022,5882,0.00,0,0,0
13:23:58 2008-Apr-15,221.0,5215633,4037297,82130,5587,0.00,0,0,0
13:23:59 2008-Apr-15,222.0,7085967,4651224,123489,13607,0.00,8.59,142.33,5.4
13:24:00 2008-Apr-15,223.0,5998023,4292816,98703,10198,0.00,0,0,0
13:24:01 2008-Apr-15,222.0,4909930,3974100,84645,5230,0.00,0,0,0
13:24:02 2008-Apr-15,222.0,5546664,4249014,85538,6839,0.00,0,0,0
13:24:03 2008-Apr-15,221.0,4915162,3956057,84853,5213,0.00,0,0,0
13:24:04 2008-Apr-15,222.0,5855659,4182557,101046,9280,0.00,27.03,216.22,14.05
13:24:05 2008-Apr-15,221.0,13342410,7078353,271203,52121,-0.00,25.71,1147.43,19.66
13:24:06 2008-Apr-15,222.0,11786043,6381047,242309,43365,-0.00,47.83,2347.83,30.87
13:24:07 2008-Apr-15,222.0,11680348,6313667,245767,44643,-0.00,43.69,2120.39,27.96
13:24:08 2008-Apr-15,223.0,11682931,6315175,240113,43046,1.13,39.64,1974.77,26.67
13:24:09 2008-Apr-15,221.0,12123054,6482049,256054,44190,0.00,46.81,2297.87,33.62
13:24:10 2008-Apr-15,221.0,11470862,6289328,240304,42190,-0.00,43.56,2138.61,29.31
13:24:11 2008-Apr-15,222.0,11865167,6348652,250023,43573,0.00,44,2160,28.4
13:24:12 2008-Apr-15,222.0,11706964,6349168,245536,43068,-0.00,49.47,2366.32,32
13:24:13 2008-Apr-15,221.0,11642912,6320382,246087,42490,-0.00,41.9,2087.62,28.19
13:24:14 2008-Apr-15,221.0,11473855,6297660,239602,42246,1.05,46.32,2273.68,32.42
13:24:15 2008-Apr-15,221.0,11762494,6381651,247467,42891,0.00,43.56,2138.61,29.31
13:24:16 2008-Apr-15,222.0,11489301,6281935,236718,42289,-0.00,40,1963.64,24.73
13:24:17 2008-Apr-15,221.0,11767373,6367830,245722,42835,-0.00,48.89,2426.67,24.89
13:24:18 2008-Apr-15,222.0,11623544,6351848,245901,42793,1.91,41.9,2087.62,20.95
13:24:19 2008-Apr-15,221.0,12950621,6836939,267852,45773,0.00,46.32,2273.68,28.21
13:24:20 2008-Apr-15,222.0,12632544,6854630,257519,44609,-0.00,44.44,2181.82,27.47
13:24:21 2008-Apr-15,221.0,11983560,6443724,248649,42852,0.00,43.56,2138.61,26.14
13:24:22 2008-Apr-15,222.0,12540638,6687971,256869,43596,-0.00,41.9,2057.14,23.62
13:24:23 2008-Apr-15,221.0,11773875,6370842,251261,42218,-0.00,43.56,2170.3,22.97
13:24:24 2008-Apr-15,222.0,11637717,6301058,241949,42336,0.00,43.56,2138.61,26.14
13:24:25 2008-Apr-15,222.0,11936555,6405627,247044,42829,0.91,47.83,2347.83,32.17
13:24:26 2008-Apr-15,222.0,11560914,6325540,240741,41797,0.00,43.56,2162.38,28.51
13:24:27 2008-Apr-15,221.0,11635274,6331762,244058,42898,-0.00,42.72,2097.09,29.13
13:24:28 2008-Apr-15,222.0,11400386,6266786,237443,41773,-0.00,45.36,2259.79,31.34
13:24:29 2008-Apr-15,222.0,11962426,6472947,250586,43480,0.00,42.72,2097.09,31.46
13:24:30 2008-Apr-15,221.0,11356163,6257389,237681,41682,-0.00,42.31,2076.92,29.23
13:24:31 2008-Apr-15,222.0,11792841,6388074,249891,43098,-0.00,45.36,2226.8,31.34
13:24:32 2008-Apr-15,222.0,11628106,6427140,241273,42214,-0.00,40.74,2000,28.15
13:24:33 2008-Apr-15,222.0,11634476,6303013,243898,42453,0.00,47.83,2382.61,33.04
13:24:34 2008-Apr-15,221.0,11829696,6382449,244378,43135,-0.00,43.27,2084.62,30.77
13:24:35 2008-Apr-15,223.0,11868960,6339374,247353,43384,1.04,45.83,2275,31.67
13:24:36 2008-Apr-15,222.0,11533570,6268246,236276,41824,0.00,40.37,1981.65,24.95
13:24:37 2008-Apr-15,221.0,12889727,6807515,267619,45301,0.00,49.44,2426.97,26.07
13:24:38 2008-Apr-15,221.0,12412486,6622959,255552,43370,0.00,43.69,2128.16,22.91
13:24:39 2008-Apr-15,222.0,12622361,6711501,262839,45273,0.00,47.71,2040.37,27.52
13:24:40 2008-Apr-15,222.0,11902936,6413007,246325,42850,-0.00,49.47,2366.32,31.16
13:24:41 2008-Apr-15,222.0,11821140,6441458,247770,42681,-0.00,41.9,2057.14,25.14
13:24:42 2008-Apr-15,221.0,14344177,9959581,282360,70069,-0.00,47.83,2347.83,25.22
13:24:43 2008-Apr-15,221.5,11923067,6417924,249330,44108,0.00,40.74,2029.63,21.85
13:24:44 2008-Apr-15,222.0,11727982,6327900,244777,42775,-0.00,45.36,2226.8,23.92
13:24:45 2008-Apr-15,222.0,11809338,6327950,243515,43111,-0.00,47.87,2331.91,30.21
13:24:46 2008-Apr-15,221.0,11723194,6301727,239669,42558,-0.00,41.12,2018.69,27.66
13:24:47 2008-Apr-15,221.0,11896628,6384790,247084,43098,-0.00,47.83,2347.83,32.17
13:24:48 2008-Apr-15,222.0,11559373,6240092,239615,42163,-0.00,40.74,2029.63,27.41
13:24:49 2008-Apr-15,222.0,12057764,6432613,252219,44408,0.00,44,2160,29.2
13:24:50 2008-Apr-15,221.0,11440492,6248360,236907,42041,-0.00,46.81,2297.87,32.34
13:24:51 2008-Apr-15,221.0,12038573,6396784,247744,43932,-0.00,43.56,2138.61,30.1
13:24:52 2008-Apr-15,222.0,11627916,6304261,238057,42363,-0.00,41.9,2057.14,28.19
13:24:53 2008-Apr-15,222.0,12015085,6394895,248833,43263,0.00,42.31,2107.69,29.23
13:24:54 2008-Apr-15,221.0,11720182,6289184,241213,43350,0.00,43.56,2170.3,31.68
13:24:55 2008-Apr-15,221.0,11709147,6298796,242463,42652,-0.00,46.32,2273.68,31.16
13:24:56 2008-Apr-15,222.0,11607971,6319174,239876,42023,-0.00,41.51,2037.74,25.28
13:24:57 2008-Apr-15,222.0,11688921,6330979,244796,42878,0.00,49.44,2426.97,26.07
13:24:58 2008-Apr-15,222.0,12199606,6516091,251453,43644,-0.00,44.9,2236.73,24.08
13:24:59 2008-Apr-15,221.0,12962680,6811413,266022,44975,-0.00,40.37,1981.65,24.59
13:25:00 2008-Apr-15,222.0,7522689,5016833,118455,15419,9.09,20,1280,12.8
