Date,CapacityBytes,Model,SerialNumber,SMART_1_Raw,SMART_2_Raw,SMART_3_Raw,SMART_4_Raw,SMART_5_Raw,DiskFailure
6/2/13,4.00E+12,ST4000DX000,Z1Z03F8P,95706900,0,2524,35,0,No
10/15/13,1.50E+12,ST31500541AS,5XW02KDD,112206656,1091,33370,19,0,Yes
12/10/14,4.00E+12,ST4000DM000,W300CY5P,30918312,0,13024,24,0,No
5/25/13,2.00E+12,Hitachi HDS722020ALA330,JK1105B8GAJPEX,65536,0,22368,25,0,No
3/14/15,4.00E+12,ST4000DM000,W300R9SJ,4433448,0,6581,28,0,No
10/27/13,3.00E+12,ST3000DM001,W1F0KQTS,170887752,0,11099,34,0,No
4/8/14,3.00E+12,ST3000DM001,W1F0BB0P,22787728,2216,17559,24,8,Yes
5/31/13,3.00E+12,ST3000DM001,S1F0ASVN,199060392,0,8188,23,0,Yes
5/25/15,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGS3AJH,0,0,8267,26,0,Yes
9/14/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG2AJGH,0,0,13636,28,0,No
8/31/15,3.00E+12,Hitachi HDS723030ALA640,MK0313YHGD1N5C,27,0,36532,35,0,No
10/8/14,1.50E+12,ST31500541AS,9XW01YFF,38059370,0,24834,26,0,Yes
1/13/15,4.00E+12,ST4000DM000,W3002Y7X,119001720,32,12396,28,216,Yes
4/21/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1321YNG0KA4A,2359373,12,32408,27,0,Yes
8/13/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J38AZF,0,0,29422,37,0,No
3/3/14,3.00E+12,ST3000DM001,W1F0Z4GM,156778942,25792,12724,25,392,Yes
6/24/15,3.00E+12,Hitachi HDS723030ALA640,MK0311YHGKWG3A,0,0,34894,30,0,No
4/4/14,4.00E+12,ST4000DM000,Z3015Z5D,126450472,1888,479,22,0,Yes
6/23/14,2.00E+12,Hitachi HDS722020ALA330,JK1175YAKDUWRX,0,0,2460,32,0,No
4/9/14,4.00E+12,ST4000DM000,Z3015LHX,79651696,0,2418,24,0,No
9/5/14,4.00E+12,ST4000DM000,W300KQP0,28474224,0,5235,25,0,No
6/15/14,3.00E+12,WDC WD30EFRX,WD-WCC4N0337500,0,0,4415,22,0,Yes
5/22/13,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNGA312A,0,0,4442,29,0,No
11/9/14,4.00E+12,ST4000DM000,Z300GPGB,148481432,0,11118,27,0,Yes
8/31/15,4.00E+12,ST4000DM000,Z300P8BB,161860432,0,16296,22,0,No
6/4/13,1.50E+12,ST31500341AS,9VS1YRB5,127344856,4095,34922,31,0,Yes
7/7/15,1.50E+12,ST31500541AS,6XW0VGHD,74702679,88,39144,29,0,Yes
10/5/14,4.00E+12,ST4000DX000,Z1Z06G0S,152739038,0,12184,32,0,No
7/4/15,3.00E+12,WDC WD30EFRX,WD-WMC4N2738897,0,0,6178,26,0,No
11/10/13,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG14TEA,0,0,4442,24,0,No
7/6/15,4.00E+12,ST4000DM000,Z300KCNN,171314568,0,15969,20,0,No
1/9/14,4.00E+12,ST4000DM000,W3002Q5P,52361664,0,2933,16,0,Yes
12/20/14,4.00E+12,ST4000DM000,Z3016WHX,20231024,0,7131,22,0,No
12/17/13,4.00E+12,ST4000DM000,Z300KLZW,169644136,0,2345,20,0,Yes
8/19/14,3.00E+12,ST3000DM001,S1F032ZY,241544864,62408,21263,29,65528,Yes
2/12/14,4.00E+12,ST4000DM000,W300D5ES,120129716,2936,4750,19,33688,Yes
4/16/14,4.00E+12,ST4000DM000,Z300CR7D,45930696,0,4256,22,0,Yes
10/13/14,3.00E+12,ST3000DM001,Z1F0LSKL,49434856,0,10830,25,0,Yes
9/3/14,4.00E+12,ST4000DM000,Z300GYZJ,144911144,0,9964,30,0,No
6/5/14,3.00E+12,ST3000DM001,S1F06JDV,114625328,2992,17565,32,1424,Yes
3/20/14,3.00E+12,WDC WD30EFRX,WD-WCC4N0299367,757,2,1185,22,7,Yes
8/11/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG2XH5A,0,0,32906,21,0,No
6/21/13,3.00E+12,ST3000DM001,W1F0V86J,204286160,0,6859,23,0,Yes
3/26/15,3.00E+12,Hitachi HDS723030ALA640,MK0311YHGHEBMA,0,0,32740,35,0,No
7/23/14,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGRHRJH,0,0,1113,31,0,No
4/29/13,3.00E+12,ST3000DM001,S1F02XDM,169558688,0,9771,19,0,No
7/27/14,3.00E+12,ST3000DM001,S1F01553,220984496,5680,20779,27,32,Yes
2/7/15,3.00E+12,ST33000651AS,Z2908LT7,46572942,0,27891,21,0,No
6/21/13,3.00E+12,ST3000DM001,S1F0KY5G,211004066,6752,7711,20,1096,Yes
7/12/14,3.00E+12,ST3000DM001,W1F0AYL6,203338680,0,19343,20,0,Yes
10/29/13,2.00E+12,Hitachi HDS722020ALA330,JK11A4B8J3HUZW,65536,0,22285,36,0,No
5/14/15,4.00E+12,ST4000DM000,Z3016TL0,145618168,984,10196,25,0,Yes
4/10/13,3.00E+12,ST3000DM001,S1F03NDX,223296416,0,8031,26,0,No
3/7/15,1.50E+12,ST31500541AS,6XW0Y1L5,140850672,0,41617,27,0,No
5/27/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNGA6PPA,0,0,21908,24,0,No
4/11/13,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNG9RG0A,0,0,1754,30,0,No
5/27/15,2.00E+12,Hitachi HDS722020ALA330,JK1105B8JS0J1X,131072,0,36085,25,0,No
9/26/14,1.50E+12,ST31500541AS,6XW0592Z,48248270,0,43877,28,0,No
9/3/14,3.00E+12,ST3000DM001,S1F0QWZ7,208372592,0,17111,22,24,Yes
5/12/15,1.50E+12,ST31500541AS,6XW0YM0A,174435199,0,42235,34,0,Yes
7/14/14,1.00E+12,WDC WD10EADS,WD-WCAV53892467,0,0,8812,29,0,No
4/23/14,3.00E+12,ST3000DM001,S1F0505D,36846672,0,17014,24,0,No
9/7/15,4.00E+12,ST4000DM000,Z302525B,54775048,0,7854,20,0,No
6/28/13,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG4JB4A,65536,0,16747,33,0,No
8/21/14,3.00E+12,ST3000DM001,S1F0CRZ3,53915848,1360,18491,30,0,Yes
6/25/14,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNGA629A,0,0,12843,31,0,No
5/11/14,4.00E+12,ST4000DM000,Z300GZCL,72250896,0,7204,22,0,No
9/22/15,4.00E+12,ST4000DM000,W300TMHA,220917344,0,8697,22,0,No
8/12/15,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGRGSXH,0,0,9537,28,0,No
6/4/14,2.50E+11,WDC WD2500BPVT,WD-WXL1E92ATED7,0,0,7526,25,0,No
10/25/13,4.00E+12,ST4000DM000,Z300CLXP,80086776,0,1119,22,0,No
2/25/14,3.00E+12,ST3000DM001,W1F0A2M9,27554552,0,17194,24,0,Yes
6/4/13,3.00E+12,ST3000DM001,W1F08DWH,60129096,0,10919,25,0,No
4/1/14,3.00E+12,ST3000DM001,W1F06CYS,95335872,392,8018,24,464,Yes
10/27/13,3.00E+12,ST3000DM001,S1F06W4N,184053328,0,12665,24,0,No
9/21/14,3.20E+11,ST320LT007,W0Q6GS3J,38644792,0,16405,29,0,No
9/16/14,4.00E+12,ST4000DM000,W300J68Y,162172512,0,8397,28,0,No
6/30/15,4.00E+12,ST4000DM000,S30116VS,60435224,0,1761,23,0,Yes
12/11/13,3.00E+12,ST3000DM001,S1F02S32,5779872,1368,15469,24,1256,Yes
4/9/14,1.50E+12,ST31500341AS,9VS1QY3M,85092017,0,42936,26,0,Yes
6/8/14,3.00E+12,ST3000DM001,S1F090MT,77045376,0,16693,26,0,Yes
6/22/15,4.00E+12,ST4000DM000,Z300WN1J,129853864,0,13347,32,0,No
8/15/14,3.00E+12,ST3000DM001,W1F09P9G,185921520,1632,19810,22,0,Yes
5/11/15,3.00E+12,WDC WD30EFRX,WD-WCC4N0386549,716,0,9291,26,2,Yes
2/12/14,1.50E+12,ST31500341AS,9VS1JTCS,20889796,3992,42085,24,103,Yes
10/16/14,3.00E+12,ST3000DM001,W1F175L3,14970088,0,3527,21,0,Yes
3/24/15,5.00E+11,WDC WD5000LPVX,WD-WX71A24C3812,0,0,6798,26,0,Yes
7/31/14,4.00E+12,HGST HMS5C4040BLE640,PL2331LAGMK53J,0,0,1662,20,0,No
9/7/14,3.00E+12,Hitachi HDS5C3030ALA630,MJ1321YNG0JXYA,0,0,25849,28,0,No
4/22/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG3G41A,0,0,30873,25,0,No
8/7/13,4.00E+12,ST4000DM000,Z300GQ41,222480904,0,556,21,0,No
4/10/14,4.00E+12,ST4000DM000,Z300KGS8,9093968,0,4101,23,0,No
9/24/15,2.00E+12,Hitachi HDS722020ALA330,JK1101B8GA8DAZ,0,24,42114,23,0,Yes
7/13/14,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNG9KWRA,0,0,14684,24,0,No
9/25/14,3.00E+12,ST3000DM001,S1F0S3N8,130078848,0,17750,32,0,Yes
9/19/14,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGSB2MH,0,0,1849,33,0,No
2/3/15,1.50E+12,ST1500DL003,5YD64RD5,13026728,0,18326,27,0,Yes
8/10/15,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGSPXDH,0,0,8983,27,0,No
5/28/14,1.50E+12,ST31500341AS,9VS2A1VW,18014306,450,42689,28,0,Yes
7/2/14,3.00E+12,ST3000DM001,S1F033XJ,85594064,0,18232,28,0,Yes
7/15/14,4.00E+12,HGST HMS5C4040BLE640,PL2331LAGMMSPJ,0,0,1760,27,0,No
12/19/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG3EE2H,0,0,15603,27,0,No
1/15/15,3.00E+12,Hitachi HDS723030ALA640,MK0311YHG07L9A,0,0,31392,25,0,No
8/19/14,3.00E+12,ST3000DM001,S1F032SM,101242736,64744,21262,30,0,Yes
1/13/15,4.00E+12,ST4000DM000,Z300ZK7K,91991640,0,8212,20,0,Yes
10/25/14,4.00E+12,ST4000DM000,W300KKX9,236399664,0,8550,20,0,No
5/11/14,2.00E+12,Hitachi HDS722020ALA330,JK1171YBK1U2KF,0,0,33529,27,0,No
7/17/13,3.00E+12,ST3000DM001,S1F023VR,45416688,0,11692,21,176,Yes
10/2/14,3.00E+12,ST3000DM001,W1F0266Z,56046912,0,19692,24,0,Yes
6/7/13,1.50E+12,ST31500341AS,9VS3FLQN,60644796,4086,28422,20,9,Yes
3/4/14,3.00E+12,ST3000DM001,Z1F0R9D0,10778584,0,13039,25,0,No
12/5/14,1.50E+12,ST31500541AS,9XW022TK,38773718,0,42028,26,1,Yes
2/26/15,1.50E+12,ST31500341AS,9VS255Y1,43361540,2691,38102,32,0,Yes
5/29/14,3.00E+12,ST3000DM001,S1F09DYG,98803560,64728,16474,30,8,Yes
9/6/15,4.00E+12,HGST HMS5C4040ALE640,PL2331LAGST9BJ,0,0,9945,34,0,No
4/28/14,3.00E+12,ST3000DM001,S1F0LCSV,13744440,0,15482,21,0,No
6/4/13,3.00E+12,ST3000DM001,Z1F0MSFV,140708248,0,6207,23,0,Yes
5/13/14,1.00E+12,WDC WD10EADS,WD-WCAU47310907,1,0,44295,23,0,Yes
12/2/14,1.50E+12,ST31500541AS,9XW01VAD,237873946,0,43574,23,2,Yes
1/22/15,6.00E+12,WDC WD60EFRX,WD-WXK1H641EJT3,0,0,1133,30,0,Yes
12/5/14,4.00E+12,ST4000DM000,Z300XFC3,182343608,0,9414,22,64,Yes
11/20/13,1.50E+12,ST31500341AS,9VS1HH7C,129854851,2794,39904,30,0,Yes
9/28/15,4.00E+12,ST4000DM000,Z302A0Z1,173848760,0,5573,29,0,No
10/8/14,3.00E+12,ST3000DM001,S1F04A3Q,125752752,936,21133,21,0,Yes
5/15/14,4.00E+12,ST4000DM000,W300J643,180331000,80,5421,26,1936,Yes
11/22/13,3.00E+12,ST3000DM001,S1F031RQ,50024687,54472,14702,28,10304,Yes
4/18/13,2.00E+12,Hitachi HDS722020ALA330,JK1101B9J240EF,0,0,17423,26,0,No
11/13/14,4.00E+12,Hitachi HDS5C4040ALE630,PL2311LAG1MXDC,0,0,15546,25,0,No
5/19/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1313YNG22R2C,0,0,20108,26,0,No
6/5/13,3.00E+12,ST3000DM001,S1F03GHA,98473952,0,9330,20,0,Yes
7/16/14,3.00E+12,Hitachi HDS723030ALA640,MK0301YHGN1XTD,0,0,22213,26,0,No
7/3/14,3.00E+12,ST3000DM001,S1F0A9WS,123145456,12496,17313,31,8,Yes
3/30/14,4.00E+12,HGST HDS724040ALE640,PK1331PAJ286ES,0,0,4642,28,0,No
5/27/15,4.00E+12,HGST HMS5C4040ALE640,PL2331LAGSV4YJ,0,0,6894,31,0,No
8/11/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1321LAG35EEH,65539,406,12396,28,0,Yes
12/22/13,3.00E+12,ST3000DM001,W1F0X4QF,201402312,0,11948,33,0,No
7/4/14,3.00E+12,ST3000DM001,S1F0QYJX,223601976,0,16609,26,0,No
12/31/13,1.50E+12,ST31500341AS,9VS3HL4K,231679566,1132,33399,18,202,Yes
7/27/13,2.00E+12,Hitachi HDS722020ALA330,JK1101B9JKHDVF,0,1,20347,29,0,No
3/15/14,4.00E+12,ST4000DM000,Z3016PMD,7328656,0,201,25,0,No
7/8/13,4.00E+12,ST4000DM000,W300E0ZX,228664416,0,324,23,0,Yes
10/20/14,4.00E+12,ST4000DM000,W300BM6G,5715928,0,11798,23,112,Yes
7/10/13,1.00E+12,WDC WD10EADS,WD-WCAU45664520,0,1,35288,24,0,Yes
12/1/13,1.50E+12,ST31500541AS,6XW0227J,25784654,21,35830,17,0,No
3/26/15,1.50E+12,ST31500541AS,6XW03YQV,174073341,0,47350,25,0,No
6/22/14,4.00E+12,ST4000DM000,Z3014BSB,141084944,0,2098,27,0,No
3/18/14,3.00E+12,ST3000DM001,Z1F06LPJ,200916520,0,18243,26,0,Yes
3/14/14,3.00E+12,ST3000DM001,S1F04WBC,230200712,0,18428,26,8,Yes
2/2/14,3.00E+12,WDC WD30EZRX,WD-WMAWZ0285736,0,0,13968,22,0,No
3/17/15,8.00E+12,HGST HUH728080ALE600,2EG33YWJ,0,0,968,32,0,Yes
4/25/14,3.00E+12,ST3000DM001,W1F0PNLY,137322736,0,14263,30,0,No
4/13/13,3.00E+12,ST3000DM001,W1F09103,65588112,0,9415,26,0,No
2/15/14,3.00E+12,ST3000DM001,S1F02P0A,150371720,0,14941,19,0,Yes
5/15/14,4.00E+12,ST4000DM000,Z3012X64,36786272,0,301,23,0,No
7/1/14,3.00E+12,ST3000DM001,W1F0NVBN,115530400,0,16454,32,40,Yes
6/20/13,3.00E+12,Hitachi HDS723030ALA640,MK0333YHGPG8ZC,0,0,13916,28,0,No
4/1/14,3.00E+12,ST3000DM001,Z1F0M2DY,238272504,0,11927,20,0,Yes
9/19/14,4.00E+12,HGST HMS5C4040BLE640,PL1331LAGM04HH,0,0,2744,32,0,No
2/11/15,1.50E+12,ST1500DL003,5YD573R5,12670216,0,14175,30,0,No
10/28/14,1.50E+12,ST31500541AS,6XW030DP,135428620,0,44647,30,0,No
4/23/15,4.00E+12,HGST HMS5C4040BLE640,PL1331LAGM1PBH,0,0,7904,27,0,No
6/18/13,3.00E+12,ST3000DM001,W1F0A1XS,36746256,0,9126,24,0,Yes
12/5/13,4.00E+12,ST4000DM000,W3009X4H,222650064,0,4002,23,0,No
3/16/14,1.50E+12,ST31500541AS,6XW0VJNQ,210365506,0,36137,22,0,No
12/10/14,1.50E+12,ST31500541AS,6XW10F7N,69700227,2736,38166,25,0,Yes
5/27/15,4.00E+12,Hitachi HDS5C4040ALE630,PL2311LAG1PVEC,0,0,20225,26,0,No
7/17/14,3.00E+12,ST3000DM001,Z1F06KHN,115628048,0,19963,29,0,Yes
11/28/14,1.50E+12,ST31500541AS,6XW00LHX,88610268,11,44899,23,0,No
3/3/14,4.00E+12,ST4000DM000,Z300ZTR1,80449416,0,632,23,0,No
6/9/14,4.00E+12,ST4000DM000,S3006M71,86306384,0,1795,27,0,No
4/23/15,4.00E+12,ST4000DM000,Z3024VWY,193772056,0,3846,30,8,Yes
7/15/15,4.00E+12,ST4000DM000,Z300V5HW,49215144,0,13838,27,0,No
3/25/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1321LAG32ARH,67634735,388,8417,20,1464,Yes
4/22/13,3.00E+12,ST3000DM001,W1F0FEH7,194128152,0,6568,23,0,No
10/23/14,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGSLHDH,1179691,71,1688,26,208,Yes
6/4/15,4.00E+12,ST4000DM000,Z3029FEG,225734232,0,3152,22,0,Yes
2/19/15,1.50E+12,ST31500341AS,9VS29J56,36115207,31,48542,29,0,Yes
6/27/13,3.00E+12,ST3000DM001,W1F0970S,101720296,536,11217,25,0,Yes
6/15/15,4.00E+12,HGST HMS5C4040ALE640,PL2331LAGUDEKJ,0,0,6441,29,0,No
9/21/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNGA6NKA,0,0,23374,36,0,No
4/12/15,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9HZ1G8F,0,0,34792,24,0,No
5/5/15,4.00E+12,ST4000DM000,Z3016PLL,110200792,0,10397,25,0,No
7/24/15,5.00E+11,WDC WD5000LPVX,WD-WX11A14L5809,0,0,11472,26,0,Yes
12/10/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J0BNWF,0,0,34744,27,0,No
5/10/15,4.00E+12,ST4000DM000,Z30259D7,179267816,0,4445,24,0,No
6/19/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1321LAG34LHH,655368,25,10514,30,32,Yes
2/28/15,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGSPK8H,0,0,4377,33,0,No
12/22/14,4.00E+12,ST4000DM000,Z3025L5D,34808864,0,1110,27,0,No
12/5/13,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J7NUTF,0,0,23435,27,0,No
6/1/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG2LWTA,620823468,1995,18962,24,0,Yes
12/4/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG2B2JH,0,0,14496,25,0,No
10/3/14,4.00E+12,ST4000DM000,W3005ST7,198473040,0,9713,28,0,No
6/24/14,1.50E+12,ST31500341AS,9VS21RJM,229425941,4095,40185,36,0,Yes
3/19/14,3.00E+12,ST3000DM001,S1F0B30K,43189720,1872,15192,21,8,Yes
3/11/15,2.00E+12,Hitachi HDS722020ALA330,JK11A8YBKYU90F,313266976,658,38761,25,116,Yes
3/21/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG75RXA,0,39,25445,32,1,Yes
8/9/13,1.50E+12,ST31500541AS,9XW02JH2,16805991,689,32779,21,1,Yes
1/31/14,4.00E+12,ST4000DM000,Z300GPFB,141096280,0,4845,23,0,No
5/24/13,4.00E+12,Hitachi HDS5C4040ALE630,PL1311LAG2E15H,0,0,2588,21,0,No
3/31/15,2.00E+12,Hitachi HDS722020ALA330,JK1101B9JPMP5F,262148,369,35344,24,23,Yes
6/30/15,4.00E+12,ST4000DM000,Z3016PCK,166261760,0,11528,24,0,No
5/6/14,4.00E+12,ST4000DM000,Z3014NSB,180482440,0,1639,27,0,No
1/9/15,4.00E+12,ST4000DM000,Z30168FS,72289176,176,7401,30,168,Yes
2/9/15,4.00E+12,ST4000DM000,Z300WCF1,137560072,0,11144,25,0,No
1/16/14,4.00E+12,ST4000DM000,Z300GPRX,63399352,0,4445,24,0,No
9/29/15,6.00E+12,WDC WD60EFRX,WD-WXL1H645C9NS,0,0,7125,30,0,Yes
6/30/14,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG02NUA,0,0,24073,28,0,No
3/9/15,4.00E+12,ST4000DM000,Z300PBVG,244108778,5448,12102,21,45264,Yes
6/29/13,3.00E+12,WDC WD30EZRX,WD-WCC070196302,0,0,4655,27,19,No
5/15/13,3.00E+12,ST3000DM001,Z1F0PEPJ,128886432,0,2944,18,56,Yes
4/29/14,3.00E+12,ST3000DM001,W1F1GMWX,8895728,0,12689,20,0,No
3/28/14,4.00E+12,Hitachi HDS5C4040ALE630,PL2310LAG0MA2C,0,0,15559,23,0,No
9/8/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG78HLA,0,0,29858,31,0,No
1/17/14,3.00E+12,ST3000DM001,S1F0B4VL,129844464,15784,13228,24,0,Yes
6/15/15,3.00E+12,Hitachi HDS723030ALA640,MK0313YHGGNG7C,1881038679,668,34685,32,0,Yes
12/11/14,1.50E+12,ST1500DL003,5YD972Z6,2506896,0,17772,29,0,Yes
5/2/13,1.50E+12,ST31500541AS,6XW049WP,79034522,0,31774,29,20,Yes
5/29/14,2.00E+12,Hitachi HDS722020ALA330,JK1105B8GY1P3X,0,0,12940,27,0,No
5/24/14,4.00E+12,ST4000DM000,Z300ZRT8,79875432,0,2598,29,0,No
6/24/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG3K0DA,0,0,33053,26,0,No
1/12/14,4.00E+12,Hitachi HDS5C4040ALE630,PL1321LAG31XWH,0,0,6715,21,0,No
7/29/14,1.60E+11,WDC WD1600AAJS,WD-WCAYUDR75130,0,0,23493,29,0,No
9/11/15,2.00E+12,Hitachi HDS722020ALA330,JK1105B8GDEX2X,0,4,42498,30,0,Yes
5/27/14,3.00E+12,ST33000651AS,Z290JZ2K,198743339,3400,21741,25,2,Yes
8/1/13,4.00E+12,ST4000DM000,Z300GZ0F,63725248,0,413,21,0,No
2/18/14,4.00E+12,ST4000DM000,Z300GQF9,140671136,0,5237,22,0,No
9/11/14,4.00E+12,ST4000DM000,Z3014800,191442800,0,5376,31,0,No
10/21/14,4.00E+12,ST4000DM000,W300J2DN,60114408,0,8454,23,0,No
8/12/14,3.00E+12,ST3000DM001,Z1F0NLX0,120223120,0,18471,26,24,Yes
6/24/13,3.00E+12,ST3000DM001,W1F0CDYE,68962936,0,8271,24,0,No
6/5/15,4.00E+12,HGST HMS5C4040ALE640,PL1331LAGS5APH,0,0,6033,29,0,Yes
6/19/14,3.00E+12,ST3000DM001,S1F06X8Q,171196640,0,18471,26,0,Yes
8/31/14,4.00E+12,ST4000DM000,Z300XEY3,200570744,0,5874,25,0,No
1/16/15,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J9HYNF,0,1,34082,24,0,Yes
5/21/15,4.00E+12,ST4000DM000,Z3025BKR,161879016,0,3946,35,0,Yes
3/24/15,4.00E+12,ST4000DM000,Z300P8BB,98458488,0,12455,21,0,No
4/20/15,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG6EH8A,1507331,20,5025,30,2,Yes
3/20/15,3.00E+12,Hitachi HDS723030ALA640,MK0331YHGRYD0A,1117536981,324,28170,38,0,Yes
12/30/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J90Z2F,0,0,33673,27,0,No
8/16/13,2.00E+12,Hitachi HDS722020ALA330,JK1174YAK8RN2W,2,0,26209,27,0,No
9/20/14,1.50E+12,ST31500541AS,6XW02TZS,19787839,0,43750,29,0,Yes
2/26/14,2.00E+12,Hitachi HDS722020ALA330,JK11A8B9J97SWF,1,0,26829,29,0,No
11/10/14,1.50E+12,ST31500541AS,6XW03886,10745595,0,45461,24,0,No
7/14/14,3.00E+12,ST3000DM001,S1F0A743,12219280,10024,17578,27,16,Yes
1/11/14,1.50E+12,ST31500541AS,9XW01XHQ,129702810,0,35070,19,0,No
5/5/15,6.00E+12,WDC WD60EFRX,WD-WXK1H642SM4D,0,0,3602,25,0,Yes
4/15/14,3.00E+12,ST3000DM001,W1F09ELK,28669144,0,17732,23,160,Yes
2/23/14,3.00E+12,ST3000DM001,S1F032MV,132817688,3272,17022,25,0,Yes
3/10/14,4.00E+12,ST4000DM000,Z300GQ3X,80537768,0,5720,25,0,No
8/6/13,3.00E+12,Hitachi HDS5C3030ALA630,MJ0351YNGA8ZRA,0,0,5456,21,0,No
8/13/14,3.00E+12,ST3000DM001,S1F04C6G,139270848,0,21282,23,0,Yes
5/9/15,3.00E+12,ST3000DM001,W1F0M35B,141805096,0,24360,32,0,Yes
6/13/14,3.00E+12,ST3000DM001,W1F08JX5,92552888,2608,17676,28,8,Yes
2/12/14,3.00E+12,Hitachi HDS5C3030ALA630,MJ1311YNG2XDLA,1,0,20105,20,0,Yes
5/19/15,4.00E+12,ST4000DM000,Z3016PMP,27507120,0,10503,25,40,Yes
6/18/13,2.00E+12,Hitachi HDS722020ALA330,JK1171YAK1ZB2N,65536,0,25692,26,0,No
3/7/14,4.00E+12,ST4000DM000,W300T2MV,11625368,0,557,20,0,Yes
9/26/14,3.00E+12,ST3000DM001,W1F0WM3S,242180480,312,18607,23,0,Yes
